timestamp,latitude,longitude,altitude,speed,battery,roll,pitch,yaw,gps_satellites,signal_strength,acceleration_x,acceleration_y,acceleration_z
0.0,51.5074,-0.1266454,59.84,12.6,99.82,-0.26,4.21,90.0,11,88.84,0.09,0.003,0.999
0.5,51.5074564,-0.1266489,60.17,12.74,99.63,0.68,4.09,94.5,14,89.11,0.057,-0.006,1.012
1.0,51.5075124,-0.1266596,60.73,12.76,99.45,1.53,3.07,99.0,11,86.41,0.035,-0.012,0.997
1.5,51.5075678,-0.1266773,61.19,12.87,99.26,2.2,4.72,103.5,14,89.83,0.085,-0.02,0.981
2.0,51.5076221,-0.1267019,61.33,12.2,99.08,2.33,3.3,108.0,14,90.23,0.072,-0.044,1.011
2.5,51.507675,-0.1267333,61.79,12.59,98.89,2.69,3.12,112.5,13,89.46,0.072,-0.033,1.017
3.0,51.5077263,-0.1267712,62.18,12.3,98.71,4.11,4.44,117.0,11,89.71,0.066,-0.058,0.997
3.5,51.5077755,-0.1268155,62.27,12.22,98.53,4.57,4.32,121.5,11,86.75,0.058,-0.064,0.975
4.0,51.5078224,-0.1268659,62.66,12.5,98.34,3.54,3.35,126.0,11,87.02,0.062,-0.06,1.013
4.5,51.5078667,-0.126922,62.86,12.36,98.16,3.77,1.94,130.5,11,88.8,0.015,-0.078,0.994
5.0,51.5079082,-0.1269836,63.34,12.29,97.97,4.13,3.43,135.0,13,86.88,0.045,-0.058,0.991
5.5,51.5079465,-0.1270501,63.76,12.48,97.79,6.08,2.8,139.5,11,88.96,0.066,-0.106,0.99
6.0,51.5079814,-0.1271213,63.91,12.36,97.61,5.19,3.12,144.0,13,88.39,0.035,-0.094,0.998
6.5,51.5080127,-0.1271967,63.72,12.66,97.42,6.05,0.99,148.5,13,87.73,0.025,-0.111,1.003
7.0,51.5080403,-0.1272758,64.35,12.18,97.24,5.03,1.92,153.0,13,86.01,0.032,-0.084,0.988
7.5,51.5080639,-0.1273581,64.31,12.42,97.05,5.72,1.45,157.5,13,90.3,0.01,-0.087,1.014
8.0,51.5080835,-0.1274432,64.66,12.27,96.87,6.0,1.25,162.0,13,85.91,0.009,-0.107,1.002
