timestamp,latitude,longitude,altitude,speed,battery,roll,pitch,yaw,gps_satellites,signal_strength,acceleration_x,acceleration_y,acceleration_z
0.0,35.6762,139.6511847,59.84,12.25,99.73,-0.21,3.31,90.0,11,84.16,0.06,-0.005,1.018
0.5,35.6762564,139.651182,60.09,12.58,99.46,0.32,4.55,94.5,11,86.09,0.097,-0.025,1.002
1.0,35.6763124,139.6511738,60.57,12.38,99.19,0.52,3.52,99.0,13,84.69,0.066,-0.002,0.998
1.5,35.6763678,139.6511602,60.87,12.55,98.92,0.95,4.74,103.5,13,84.06,0.074,-0.008,0.989
2.0,35.6764221,139.6511414,61.57,12.32,98.65,2.18,3.36,108.0,14,85.29,0.051,-0.026,0.979
2.5,35.676475,139.6511173,61.48,12.67,98.38,2.44,3.73,112.5,14,89.61,0.051,-0.036,0.98
3.0,35.6765263,139.6510883,62.33,12.67,98.12,3.27,2.88,117.0,14,89.98,0.043,-0.055,1.013
3.5,35.6765755,139.6510543,62.16,12.22,97.85,3.32,3.87,121.5,12,84.98,0.085,-0.066,0.977
4.0,35.6766224,139.6510157,62.62,12.23,97.58,5.23,2.71,126.0,13,84.15,0.039,-0.073,1.006
4.5,35.6766667,139.6509727,62.94,12.92,97.31,4.94,3.56,130.5,13,88.94,0.078,-0.094,0.984
5.0,35.6767082,139.6509256,63.33,12.29,97.04,5.2,2.42,135.0,14,85.36,0.054,-0.096,0.987
5.5,35.6767465,139.6508746,63.29,12.95,96.77,5.2,1.85,139.5,11,84.5,0.042,-0.087,1.014
6.0,35.6767814,139.65082,63.84,12.6,96.5,5.76,1.8,144.0,11,84.98,0.033,-0.089,0.991
6.5,35.6768127,139.6507622,64.3,12.55,96.23,5.27,1.69,148.5,11,85.75,0.027,-0.086,0.992
7.0,35.6768403,139.6507016,64.04,12.32,95.96,4.99,1.08,153.0,12,90.18,0.016,-0.096,0.989
7.5,35.6768639,139.6506386,64.62,12.42,95.69,5.22,1.4,157.5,11,87.95,0.008,-0.103,1.011
8.0,35.6768835,139.6505734,64.79,12.91,95.42,5.67,1.25,162.0,13,90.52,0.023,-0.093,1.002
8.5,35.6768988,139.6505065,64.55,12.9,95.15,6.86,-0.24,166.5,13,91.69,0.003,-0.138,1.009
9.0,35.6769098,139.6504384,64.57,12.94,94.88,6.18,-0.6,171.0,12,89.5,-0.012,-0.109,0.99
9.5,35.6769164,139.6503694,64.82,12.8,94.62,5.1,-0.74,175.5,13,84.93,-0.0,-0.078,1.011
10.0,35.6769186,139.6503,64.98,12.87,94.35,4.86,-0.04,180.0,13,90.55,0.002,-0.073,1.013
10.5,35.6769164,139.6502306,64.95,12.23,94.08,5.57,-1.49,184.5,13,88.87,-0.04,-0.103,1.006
11.0,35.6769098,139.6501616,65.01,12.17,93.81,5.53,-0.38,189.0,11,91.68,-0.009,-0.108,1.014
11.5,35.6768988,139.6500935,64.92,12.77,93.54,5.19,-1.56,193.5,11,84.92,-0.022,-0.075,0.996
12.0,35.6768835,139.6500266,64.91,12.85,93.27,4.61,-2.53,198.0,12,89.1,-0.027,-0.081,0.981
12.5,35.6768639,139.6499614,64.92,12.46,93.0,2.92,-1.55,202.5,13,87.95,-0.033,-0.049,1.015
13.0,35.6768403,139.6498984,64.92,12.17,92.73,2.72,-2.16,207.0,14,90.29,-0.034,-0.046,0.999
13.5,35.6768127,139.6498378,64.63,12.4,92.46,2.02,-3.15,211.5,11,89.41,-0.051,-0.043,1.014
14.0,35.6767814,139.64978,64.53,12.9,92.19,1.62,-2.03,216.0,14,88.9,-0.038,-0.043,1.01
14.5,35.6767465,139.6497254,64.3,12.7,91.92,0.7,-3.83,220.5,12,89.4,-0.062,-0.021,1.015
15.0,35.6767082,139.6496744,64.02,12.8,91.65,1.2,-2.44,225.0,11,87.22,-0.025,-0.034,1.005
15.5,35.6766667,139.6496273,63.9,12.41,91.38,-0.7,-4.35,229.5,11,90.41,-0.064,0.03,0.983
16.0,35.6766224,139.6495843,63.83,12.56,91.12,-0.2,-2.68,234.0,11,85.38,-0.048,0.019,0.988
16.5,35.6765755,139.6495457,63.7,12.69,90.85,-0.24,-3.32,238.5,12,91.17,-0.05,-0.003,0.988
17.0,35.6765263,139.6495117,63.17,12.67,90.58,-0.54,-3.01,243.0,14,88.05,-0.034,0.002,0.996
17.5,35.676475,139.6494827,63.05,12.37,90.31,-1.31,-3.98,247.5,13,87.23,-0.074,0.004,0.998
18.0,35.6764221,139.6494586,62.67,12.94,90.04,-2.39,-4.27,252.0,13,91.28,-0.064,0.041,1.002
18.5,35.6763678,139.6494398,62.38,12.65,89.77,-4.05,-3.15,256.5,11,86.39,-0.037,0.057,1.008
19.0,35.6763124,139.6494262,62.18,12.6,89.5,-2.75,-4.47,261.0,12,85.26,-0.094,0.029,0.988
19.5,35.6762564,139.649418,61.52,12.22,89.23,-3.14,-4.4,265.5,12,89.85,-0.07,0.073,1.011
20.0,35.6762,139.6494153,61.53,12.61,88.96,-4.15,-3.48,270.0,12,88.02,-0.075,0.086,0.995
20.5,35.6761436,139.649418,60.8,12.3,88.69,-4.16,-4.34,274.5,14,88.3,-0.084,0.069,0.981
21.0,35.6760876,139.6494262,60.44,12.95,88.42,-5.67,-3.39,279.0,13,91.68,-0.073,0.085,1.007
21.5,35.6760322,139.6494398,60.54,12.35,88.15,-5.39,-3.66,283.5,12,91.08,-0.066,0.103,1.008
22.0,35.6759779,139.6494586,60.1,12.72,87.88,-6.04,-4.12,288.0,12,84.86,-0.067,0.122,0.984
22.5,35.675925,139.6494827,59.72,12.88,87.62,-5.66,-4.21,292.5,12,86.05,-0.059,0.105,0.985
23.0,35.6758737,139.6495117,59.52,12.67,87.35,-6.28,-2.41,297.0,12,91.15,-0.027,0.116,1.001
23.5,35.6758245,139.6495457,58.99,12.59,87.08,-5.02,-3.15,301.5,11,85.42,-0.073,0.088,1.008
24.0,35.6757776,139.6495843,58.71,12.2,86.81,-5.63,-2.94,306.0,12,89.57,-0.067,0.117,1.007
24.5,35.6757333,139.6496273,58.25,12.17,86.54,-5.21,-2.11,310.5,11,91.12,-0.018,0.071,1.003
25.0,35.6756918,139.6496744,57.74,12.37,86.27,-5.28,-2.39,315.0,13,90.86,-0.036,0.088,0.982
25.5,35.6756535,139.6497254,57.59,12.22,86.0,-5.53,-1.77,319.5,13,90.31,-0.023,0.094,0.982
26.0,35.6756186,139.64978,57.0,12.88,85.73,-4.44,-1.93,324.0,14,91.6,-0.017,0.074,1.006
26.5,35.6755873,139.6498378,56.82,12.39,85.46,-5.82,-1.36,328.5,13,89.41,-0.018,0.106,0.987
27.0,35.6755597,139.6498984,56.98,12.79,85.19,-4.4,-0.44,333.0,13,89.35,0.008,0.077,0.982
27.5,35.6755361,139.6499614,56.36,12.53,84.92,-3.25,-1.18,337.5,12,88.15,-0.037,0.069,0.991
28.0,35.6755165,139.6500266,56.44,12.63,84.65,-4.49,0.31,342.0,12,91.19,0.015,0.088,1.009
28.5,35.6755012,139.6500935,56.1,12.38,84.38,-3.12,0.41,346.5,13,91.89,-0.006,0.065,0.98
29.0,35.6754902,139.6501616,55.52,12.29,84.12,-1.91,1.34,351.0,13,89.63,0.03,0.047,0.983
29.5,35.6754836,139.6502306,55.43,12.28,83.85,-2.29,0.9,355.5,13,86.9,0.026,0.053,1.009
30.0,35.6754814,139.6503,55.17,12.29,83.58,-2.24,0.61,0.0,12,91.51,0.018,0.034,1.001
30.5,35.6754836,139.6503694,55.08,12.35,83.31,-0.1,0.82,4.5,12,84.17,-0.001,-0.006,1.007
31.0,35.6754902,139.6504384,55.09,12.6,83.04,0.38,2.66,9.0,14,85.31,0.066,-0.002,0.993
31.5,35.6755012,139.6505065,54.82,12.72,82.77,-0.0,2.53,13.5,14,85.69,0.037,0.004,0.981
32.0,35.6755165,139.6505734,54.8,12.3,82.5,1.05,1.45,18.0,12,88.8,0.029,-0.009,0.98
32.5,35.6755361,139.6506386,54.97,12.81,82.23,0.57,1.68,22.5,12,88.84,0.019,-0.0,1.001
33.0,35.6755597,139.6507016,54.92,12.75,81.96,2.73,3.51,27.0,13,86.06,0.055,-0.046,0.999
33.5,35.6755873,139.6507622,54.93,12.86,81.69,1.82,3.0,31.5,11,84.59,0.057,-0.044,0.984
34.0,35.6756186,139.65082,55.08,12.28,81.42,3.64,3.34,36.0,13,90.99,0.041,-0.046,1.008
34.5,35.6756535,139.6508746,55.18,12.6,81.15,3.0,2.56,40.5,14,91.06,0.036,-0.047,1.008
35.0,35.6756918,139.6509256,55.22,12.77,80.88,3.07,2.88,45.0,14,84.36,0.044,-0.049,1.014
35.5,35.6757333,139.6509727,55.24,12.33,80.62,4.73,4.34,49.5,11,86.27,0.089,-0.064,1.006
36.0,35.6757776,139.6510157,55.28,12.9,80.35,5.61,4.84,54.0,11,91.11,0.103,-0.097,0.993
36.5,35.6758245,139.6510543,55.36,12.58,80.08,4.78,3.26,58.5,12,88.08,0.059,-0.076,0.977
37.0,35.6758737,139.6510883,55.76,12.27,79.81,4.6,4.5,63.0,13,88.11,0.085,-0.095,0.997
37.5,35.675925,139.6511173,56.05,12.66,79.54,5.83,3.01,67.5,11,90.14,0.054,-0.105,0.986
38.0,35.6759779,139.6511414,56.14,12.77,79.27,5.86,4.07,72.0,12,91.88,0.069,-0.083,1.012
