timestamp,latitude,longitude,altitude,speed,battery,roll,pitch,yaw,gps_satellites,signal_strength,acceleration_x,acceleration_y,acceleration_z
0.0,37.7749,-122.4184908,59.78,12.84,99.85,0.53,3.51,90.0,14,90.09,0.06,-0.014,0.986
0.5,37.7749564,-122.4184936,60.35,12.88,99.71,0.38,4.2,94.5,11,89.57,0.064,0.005,1.001
1.0,37.7750124,-122.418502,60.47,12.42,99.56,0.24,4.24,99.0,11,91.51,0.069,-0.015,0.994
1.5,37.7750678,-122.4185159,60.78,12.34,99.42,1.65,3.87,103.5,12,86.77,0.075,-0.018,1.015
2.0,37.7751221,-122.4185353,61.67,12.5,99.27,3.17,4.62,108.0,11,85.49,0.1,-0.041,0.98
2.5,37.775175,-122.41856,61.65,12.74,99.13,3.3,4.53,112.5,14,88.06,0.095,-0.07,0.987
3.0,37.7752263,-122.4185899,62.36,12.57,98.98,4.27,3.3,117.0,11,87.84,0.067,-0.078,1.002
3.5,37.7752755,-122.4186248,62.32,12.87,98.83,4.42,3.81,121.5,11,87.51,0.067,-0.066,0.996
4.0,37.7753224,-122.4186644,62.64,12.56,98.69,3.36,2.23,126.0,14,89.18,0.026,-0.07,0.978
4.5,37.7753667,-122.4187086,62.82,12.9,98.54,4.8,2.74,130.5,13,91.62,0.051,-0.085,0.986
5.0,37.7754082,-122.4187571,63.3,12.93,98.4,4.06,3.26,135.0,12,88.15,0.059,-0.074,0.978
5.5,37.7754465,-122.4188095,63.76,12.62,98.25,4.75,2.44,139.5,14,90.51,0.039,-0.103,0.997
6.0,37.7754814,-122.4188656,63.95,12.43,98.1,5.79,2.77,144.0,12,88.41,0.036,-0.117,0.996
6.5,37.7755127,-122.4189249,64.21,12.91,97.96,4.85,2.76,148.5,11,84.67,0.029,-0.104,1.005
7.0,37.7755403,-122.4189872,64.06,12.25,97.81,6.16,1.26,153.0,11,85.34,0.012,-0.089,1.0
7.5,37.7755639,-122.4190521,64.48,12.4,97.67,6.39,1.25,157.5,11,84.19,0.017,-0.114,0.981
