timestamp,latitude,longitude,altitude,speed,battery,roll,pitch,yaw,gps_satellites,signal_strength,acceleration_x,acceleration_y,acceleration_z
0.0,40.7128,-74.0050519,60.27,12.92,99.83,-0.89,3.17,90.0,12,89.89,0.062,0.008,1.003
0.5,40.7128564,-74.0050548,60.42,12.63,99.65,-0.08,3.85,94.5,14,90.43,0.082,0.002,0.993
1.0,40.7129124,-74.0050636,60.97,12.57,99.48,1.99,4.69,99.0,13,87.72,0.074,-0.04,1.012
1.5,40.7129678,-74.0050781,61.08,12.61,99.3,1.25,2.92,103.5,13,85.39,0.051,-0.027,0.999
2.0,40.7130221,-74.0050983,61.45,12.96,99.13,2.23,3.61,108.0,13,90.32,0.057,-0.02,1.016
2.5,40.713075,-74.0051241,61.54,12.77,98.95,3.31,3.58,112.5,12,87.92,0.079,-0.058,1.01
3.0,40.7131263,-74.0051552,61.99,12.87,98.78,4.19,3.43,117.0,14,87.89,0.049,-0.08,1.004
3.5,40.7131755,-74.0051916,62.2,12.89,98.6,3.4,4.16,121.5,13,86.43,0.085,-0.046,0.998
4.0,40.7132224,-74.005233,62.71,12.66,98.43,4.12,3.61,126.0,14,88.1,0.08,-0.067,0.978
4.5,40.7132667,-74.0052791,63.19,12.75,98.25,5.52,2.31,130.5,11,84.47,0.046,-0.105,0.984
5.0,40.7133082,-74.0053296,63.5,12.25,98.08,5.09,3.4,135.0,12,90.6,0.077,-0.106,1.01
5.5,40.7133465,-74.0053843,63.69,12.21,97.9,5.07,1.93,139.5,11,84.66,0.052,-0.107,1.005
6.0,40.7133814,-74.0054427,63.49,12.37,97.73,6.22,1.48,144.0,12,88.18,0.006,-0.105,1.006
6.5,40.7134127,-74.0055046,63.85,12.94,97.55,4.79,2.75,148.5,11,86.29,0.048,-0.091,0.997
7.0,40.7134403,-74.0055696,64.27,12.2,97.38,5.44,1.38,153.0,12,87.78,0.013,-0.088,0.988
7.5,40.7134639,-74.0056372,64.15,12.52,97.2,6.73,0.52,157.5,14,87.9,0.002,-0.102,0.987
8.0,40.7134835,-74.005707,64.41,12.94,97.03,6.3,1.34,162.0,12,89.36,0.014,-0.125,0.981
8.5,40.7134988,-74.0057787,64.66,12.35,96.85,6.78,1.03,166.5,11,91.96,0.007,-0.12,0.983
9.0,40.7135098,-74.0058517,64.85,12.67,96.68,6.44,0.7,171.0,13,89.48,0.003,-0.102,0.98
9.5,40.7135164,-74.0059256,64.82,12.29,96.5,5.7,-0.87,175.5,11,84.8,-0.028,-0.11,0.984
10.0,40.7135186,-74.006,64.96,12.54,96.33,5.08,-0.1,180.0,12,89.48,0.009,-0.1,1.008
10.5,40.7135164,-74.0060744,64.94,12.18,96.15,5.36,0.05,184.5,12,91.36,0.007,-0.094,0.976
11.0,40.7135098,-74.0061483,65.28,12.26,95.98,4.58,-0.66,189.0,13,86.47,0.004,-0.083,0.981
11.5,40.7134988,-74.0062213,64.81,12.79,95.8,5.13,-0.73,193.5,11,87.29,-0.013,-0.101,0.999
12.0,40.7134835,-74.006293,64.69,12.39,95.63,3.8,-0.79,198.0,11,85.75,-0.014,-0.082,0.993
12.5,40.7134639,-74.0063628,65.01,12.28,95.45,3.28,-1.19,202.5,13,84.97,-0.037,-0.043,1.004
13.0,40.7134403,-74.0064304,65.07,12.72,95.28,2.14,-1.93,207.0,11,89.79,-0.034,-0.043,0.997
13.5,40.7134127,-74.0064954,64.86,12.38,95.1,2.62,-2.56,211.5,14,91.46,-0.031,-0.054,0.987
14.0,40.7133814,-74.0065573,64.54,12.37,94.93,1.87,-2.4,216.0,11,88.69,-0.029,-0.049,0.993
14.5,40.7133465,-74.0066157,64.69,12.28,94.75,1.27,-3.86,220.5,11,91.29,-0.06,-0.01,0.979
15.0,40.7133082,-74.0066704,64.49,12.48,94.58,1.26,-2.43,225.0,13,87.51,-0.042,-0.038,1.0
15.5,40.7132667,-74.0067209,64.27,12.77,94.4,-0.56,-3.36,229.5,13,85.36,-0.072,0.028,0.988
